i1,j1,i2,j2
47,104,48,104
87,163,87,164
67,106,67,107
75,82,76,82
15,184,16,184
15,8,16,8
68,149,69,149
72,43,73,43
80,125,80,126
84,3,84,4
8,30,9,30
17,41,17,42
40,193,41,193
1,170,1,171
84,175,85,175
42,24,42,25
72,40,72,41
95,60,95,61
6,25,7,25
56,22,57,22
20,157,20,158
83,132,83,133
54,84,54,85
88,158,88,159
97,21,98,21
87,82,88,82
76,99,77,99
50,187,50,188
7,12,8,12
76,6,76,7
81,127,81,128
72,112,73,112
27,137,27,138
52,32,52,33
26,36,26,37
26,38,27,38
54,112,54,113
66,135,66,136
36,183,36,184
10,102,10,103
13,111,14,111
54,9,55,9
47,13,47,14
73,6,73,7
26,98,27,98
89,111,90,111
68,151,69,151
89,18,89,19
76,191,77,191
8,93,9,93
73,177,74,177
11,124,12,124
14,27,14,28
70,77,70,78
16,157,17,157
57,31,58,31
47,88,47,89
3,178,4,178
83,24,84,24
26,128,26,129
84,53,85,53
20,85,21,85
97,24,98,24
67,4,68,4
35,72,35,73
95,125,96,125
29,50,29,51
45,53,46,53
28,187,29,187
2,153,3,153
12,1,12,2
20,129,21,129
28,94,28,95
49,5,50,5
78,28,78,29
44,159,44,160
50,95,50,96
24,119,25,119
34,185,34,186
33,46,33,47
58,135,58,136
95,139,96,139
86,119,87,119
78,90,79,90
50,147,51,147
48,90,48,91
28,27,28,28
30,178,31,178
53,116,53,117
67,96,68,96
85,1,85,2
38,127,38,128
9,79,9,80
15,77,15,78
12,133,13,133
56,60,57,60
48,185,49,185
52,56,52,57
80,10,81,10
0,47,0,48
35,7,35,8
82,70,83,70
39,136,39,137
31,48,31,49
10,88,10,89
77,88,78,88
2,0,3,0
57,8,57,9
16,127,16,128
50,122,51,122
62,5,63,5
96,36,97,36
64,185,65,185
75,120,75,121
2,62,2,63
59,20,59,21
61,171,62,171
82,147,82,148
28,89,28,90
77,17,77,18
86,63,86,64
17,44,17,45
54,1,54,2
52,148,52,149
56,66,56,67
82,161,82,162
78,141,78,142
18,26,19,26
17,27,18,27
58,84,58,85
70,20,70,21
38,113,39,113
77,180,78,180
97,167,97,168
2,92,3,92
44,145,44,146
35,153,36,153
47,129,47,130
73,20,74,20
3,64,3,65
15,73,16,73
0,50,0,51
18,104,19,104
93,36,93,37
90,90,90,91
61,65,62,65
33,70,33,71
47,7,48,7
